AntennaLocationCode,AntennaType
A-360,T-5
A-848,T-5
A-1105,T-5
A-272,T-5
A-810,T-5
A-610,T-5
A-452,T-5
A-664,T-4
A-692,T-5
A-1029,T-5
A-1487,T-5
A-1402,T-5
A-1275,T-5
A-514,T-5
A-218,T-5
A-1380,T-5
A-971,T-5
A-1541,T-5
A-408,T-5
A-1016,T-5
A-713,T-5
A-563,T-5
A-247,T-5
A-463,T-5
A-226,T-5
A-997,T-5
A-28,T-5
A-1159,T-5
A-541,T-5
A-1515,T-5
A-490,T-5
A-1355,T-5
A-303,T-5
A-263,T-5
A-666,T-5
A-78,T-5
A-859,T-5
A-1456,T-5
A-119,T-5
A-741,T-5
A-377,T-5
A-1562,T-5
A-45,T-5
A-747,T-5
A-1248,T-5
A-934,T-5
A-828,T-4
A-496,T-4
A-194,T-5
A-420,T-5
A-1143,T-4
A-1211,T-5
A-365,T-5
A-375,T-4
A-590,T-5
A-944,T-5
A-723,T-3
A-426,T-5
A-1398,T-5
A-649,T-5
A-1469,T-5
A-528,T-5
A-1124,T-5
A-211,T-5
A-772,T-5
A-1337,T-4
A-549,T-4
A-1371,T-4
A-1046,T-5
A-1061,T-5
A-384,T-5
